Borough,Total Units,Age,Has Elevator,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value
1,56,105.0,0,30899.0,1093825.0,174888.0,918937.0,7302000.0
4,19,8.0,0,13225.0,461553.0,112545.0,349008.0,2834002.0
1,32,26.0,0,23605.0,1091023.0,405298.0,685725.0,5485001.0
3,18,12.0,0,17361.0,534545.0,126388.0,408157.0,3314000.0
1,56,111.0,1,38255.0,1281160.0,447201.0,833959.0,6735000.0
3,10,11.0,0,10756.0,237600.0,126060.0,111540.0,881002.0
3,35,7.0,0,29315.0,600569.0,268662.0,331907.0,2432003.0
1,26,52.0,0,29906.0,1268313.0,563429.0,704884.0,5639001.0
3,35,6.0,0,41276.0,986084.0,197299.0,788784.0,6212000.0
3,16,8.0,1,21829.0,490716.0,167428.0,323288.0,2388000.0
4,20,15.0,0,20510.0,511725.0,231353.0,280372.0,2243000.0
4,23,3.0,0,20355.0,533708.0,167115.0,366593.0,2933002.0
1,70,15.0,0,66668.0,2780056.0,758682.0,2021374.0,15391000.0
1,16,104.0,0,12000.0,371788.0,147540.0,224248.0,1710000.0
2,24,5.0,0,24512.0,496613.0,198547.0,298066.0,2321000.0
2,80,4.0,0,76165.0,1195029.0,382348.0,812681.0,6008000.0
3,12,9.0,0,14624.0,599292.0,206491.0,392801.0,3175000.0
3,19,6.0,0,11899.0,250117.0,73774.0,176343.0,1287001.0
1,48,9.0,0,54628.0,1235685.0,443033.0,792652.0,6223000.0
1,12,96.0,0,31613.0,1647037.0,516556.0,1130481.0,9045998.0
4,64,6.0,0,53000.0,1075900.0,302630.0,773270.0,5656000.0
1,36,93.0,0,38578.0,487626.0,256929.0,230697.0,1471001.0
4,16,9.0,1,10170.0,224350.0,107700.0,116650.0,920998.0
1,93,88.0,0,97650.0,1343318.0,696466.0,646852.0,4247998.0
3,8,13.0,0,7160.0,221674.0,68450.0,153224.0,1233000.0
4,20,10.0,0,26107.0,1062294.0,490812.0,571482.0,4573000.0
3,36,91.0,0,39656.0,678514.0,224056.0,454458.0,3188999.0
4,24,90.0,1,12870.0,211583.0,63449.0,148134.0,1099006.0
1,23,108.0,0,17899.0,775743.0,189908.0,585835.0,4715000.0
4,48,56.0,0,53920.0,737626.0,285237.0,452389.0,2945997.0
4,59,45.0,0,51376.0,1149281.0,408439.0,740842.0,5782996.0
4,64,54.0,0,73060.0,1081288.0,501192.0,580096.0,4037986.0
3,15,8.0,0,11256.0,319333.0,106257.0,213076.0,1704001.0
3,30,17.0,0,30802.0,1153535.0,403814.0,749721.0,6112000.0
3,12,13.0,1,14095.0,319393.0,141796.0,177597.0,1409998.0
4,25,14.0,0,30480.0,1030834.0,312115.0,718718.0,5850000.0
5,44,24.0,0,28943.0,377706.0,191892.0,185814.0,1198000.0
1,10,102.0,0,11995.0,451372.0,135424.0,315948.0,2385000.0
3,31,30.0,1,40875.0,1106078.0,222769.0,883309.0,7109999.0
4,12,17.0,1,10431.0,345057.0,138002.0,207055.0,1670000.0
